AcresBurned,Counties,Started,Started_Date,Started_Hour
4689.0,"Mariposa, CA",2014-07-26T17:00:00Z,2014-07-26,17
4300.0,"Napa, CA",2014-07-01T12:08:00Z,2014-07-01,12
4300.0,"Lake, CA",2014-07-01T12:08:00Z,2014-07-01,12
4240.0,"Amador, CA",2014-07-25T16:34:00Z,2014-07-25,16
4240.0,"El Dorado, CA",2014-07-25T16:34:00Z,2014-07-25,16
4045.0,"Kern, CA",2014-08-18T14:30:00Z,2014-08-18,14
3895.0,"Kern, CA",2014-06-13T17:00:00Z,2014-06-13,17
2143.0,"San Bernardino, CA",2014-04-30T08:00:00Z,2014-04-30,08
1995.0,"San Diego, CA",2014-05-14T16:00:00Z,2014-05-14,16
1952.0,"Los Angeles, CA",2014-01-16T05:50:00Z,2014-01-16,05
1680.0,"Kern, CA",2014-07-11T13:46:00Z,2014-07-11,13
1651.0,"Modoc, CA",2014-07-01T19:00:00Z,2014-07-01,19
1548.0,"San Diego, CA",2014-05-13T11:00:00Z,2014-05-13,11
1469.0,"Modoc, CA",2014-07-03T15:46:00Z,2014-07-03,15
1457.0,"San Diego, CA",2014-05-16T11:24:00Z,2014-05-16,11
1375.0,"Shasta, CA",2014-09-10T00:30:00Z,2014-09-10,00
1080.0,"Mariposa, CA",2014-07-17T01:00:00Z,2014-07-17,01
968.0,"Orange, CA",2014-09-12T10:30:00Z,2014-09-12,10
865.0,"Tehama, CA",2014-01-02T20:00:00Z,2014-01-02,20
677.0,"Mariposa, CA",2014-05-26T15:33:00Z,2014-05-26,15
632.0,"Santa Barbara, CA",2014-05-13T14:00:00Z,2014-05-13,14
612.0,"Madera, CA",2014-08-18T13:50:00Z,2014-08-18,13
600.0,"San Diego, CA",2014-05-14T10:30:00Z,2014-05-14,10
580.0,"Trinity, CA",2014-08-24T16:36:00Z,2014-08-24,16
516.0,"Siskiyou, CA",2014-09-15T13:38:00Z,2014-09-15,13
487.0,"Tuolumne, CA",2014-06-04T11:45:00Z,2014-06-04,11
459.0,"Placer, CA",2014-10-08T13:33:00Z,2014-10-08,13
403.0,"Mendocino, CA",2014-09-13T15:48:00Z,2014-09-13,15
400.0,"Monterey, CA",2014-03-19T16:45:00Z,2014-03-19,16
389.0,"Butte, CA",2014-07-28T13:11:00Z,2014-07-28,13
380.0,"San Diego, CA",2014-05-14T13:00:00Z,2014-05-14,13
350.0,"Riverside, CA",2014-03-15T16:37:00Z,2014-03-15,16
333.0,"Humboldt, CA",2014-01-04T12:00:00Z,2014-01-04,12
320.0,"Madera, CA",2014-09-14T13:36:00Z,2014-09-14,13
311.0,"Mariposa, CA",2014-10-07T15:05:00Z,2014-10-07,15
300.0,"Mariposa, CA",2014-09-05T12:39:00Z,2014-09-05,12
300.0,"Merced, CA",2014-07-24T12:06:00Z,2014-07-24,12
274.0,"Los Angeles, CA",2014-08-17T14:30:00Z,2014-08-17,14
269.0,"Tuolumne, CA",2014-06-05T13:04:00Z,2014-06-05,13
225.0,"Tehama, CA",2014-06-13T12:23:00Z,2014-06-13,12
217.0,"San Diego, CA",2014-07-03T10:43:00Z,2014-07-03,10
210.0,"Humboldt, CA",2014-09-12T15:00:00Z,2014-09-12,15
190.0,"Los Angeles, CA",2014-08-14T12:48:00Z,2014-08-14,12
175.0,"Lake, CA",2014-05-25T12:20:00Z,2014-05-25,12
143.0,"Shasta, CA",2014-07-09T13:45:00Z,2014-07-09,13
130.0,"Mariposa, CA",2014-06-10T15:11:00Z,2014-06-10,15
125.0,"Santa Clara, CA",2014-06-30T14:10:00Z,2014-06-30,14
125.0,"San Diego, CA",2014-03-08T12:30:00Z,2014-03-08,12
120.0,"Calaveras, CA",2014-06-20T15:27:00Z,2014-06-20,15
120.0,"Placer, CA",2014-01-22T13:10:00Z,2014-01-22,13
113.0,"Inyo, CA",2014-04-19T15:54:00Z,2014-04-19,15
106.0,"Fresno, CA",2014-01-25T06:37:00Z,2014-01-25,06
105.0,"San Diego, CA",2014-05-14T12:12:00Z,2014-05-14,12
101.0,"Modoc, CA",2014-08-12T15:00:00Z,2014-08-12,15
100.0,"Lake, CA",2014-09-03T16:03:00Z,2014-09-03,16
100.0,"Riverside, CA",2014-09-01T14:03:00Z,2014-09-01,14
94.0,"El Dorado, CA",2014-09-14T09:15:00Z,2014-09-14,09
90.0,"Mariposa, CA",2014-06-06T17:29:00Z,2014-06-06,17
85.0,"Calaveras, CA",2014-06-22T12:37:00Z,2014-06-22,12
80.0,"Santa Clara, CA",2014-08-28T15:10:00Z,2014-08-28,15
80.0,"Contra Costa, CA",2014-07-11T21:57:00Z,2014-07-11,21
79.0,"Mariposa, CA",2014-09-07T16:46:00Z,2014-09-07,16
78.0,"Riverside, CA",2014-07-23T10:47:00Z,2014-07-23,10
75.0,"Shasta, CA",2014-07-05T18:44:00Z,2014-07-05,18
75.0,"Monterey, CA",2014-04-30T14:25:00Z,2014-04-30,14
72.0,"Butte, CA",2014-07-14T18:00:00Z,2014-07-14,18
70.0,"Tuolumne, CA",2014-09-04T11:51:00Z,2014-09-04,11
70.0,"Kern, CA",2014-07-01T18:15:00Z,2014-07-01,18
70.0,"Solano, CA",2014-06-12T14:29:00Z,2014-06-12,14
65.0,"Inyo, CA",2014-09-16T19:07:00Z,2014-09-16,19
62.0,"Mendocino, CA",2014-09-21T16:13:00Z,2014-09-21,16
60.0,"Butte, CA",2014-01-01T10:46:00Z,2014-01-01,10
57.0,"Riverside, CA",2014-03-28T14:31:00Z,2014-03-28,14
56.0,"San Diego, CA",2014-05-14T17:43:00Z,2014-05-14,17
50.0,"Shasta, CA",2014-05-14T14:00:00Z,2014-05-14,14
48.0,"San Bernardino, CA",2014-10-16T14:34:00Z,2014-10-16,14
47.0,"San Luis Obispo, CA",2014-07-07T16:12:00Z,2014-07-07,16
40.0,"Fresno, CA",2014-06-09T15:15:00Z,2014-06-09,15
37.0,"Humboldt, CA",2014-08-01T15:47:00Z,2014-08-01,15
37.0,"Stanislaus, CA",2014-05-27T11:23:00Z,2014-05-27,11
31.0,"Riverside, CA",2014-06-06T17:32:00Z,2014-06-06,17
30.0,"Siskiyou, CA",2014-07-29T13:00:00Z,2014-07-29,13
30.0,"El Dorado, CA",2014-07-09T14:34:00Z,2014-07-09,14
29.0,"San Diego, CA",2014-05-05T16:36:00Z,2014-05-05,16
27.0,"Napa, CA",2014-09-11T15:14:00Z,2014-09-11,15
25.0,"Ventura, CA",2014-09-29T19:35:00Z,2014-09-29,19
25.0,"Shasta, CA",2014-08-29T12:21:00Z,2014-08-29,12
25.0,"Fresno, CA",2014-06-11T07:30:00Z,2014-06-11,07
20.0,"El Dorado, CA",2014-09-25T18:00:00Z,2014-09-25,18
20.0,"San Diego, CA",2014-08-16T16:22:00Z,2014-08-16,16
18.0,"Humboldt, CA",2014-01-03T10:30:00Z,2014-01-03,10
15.0,"Trinity, CA",2014-07-01T03:45:00Z,2014-07-01,03
14.0,"Placer, CA",2014-07-21T14:49:00Z,2014-07-21,14
14.0,"Riverside, CA",2014-06-04T15:18:00Z,2014-06-04,15
10.0,"Madera, CA",2014-08-26T16:23:00Z,2014-08-26,16
6.0,"Napa, CA",2014-08-24T03:20:00Z,2014-08-24,03
