AcresBurned,Counties,Started,Started_Date,Started_Hour,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Fire
865.0,"Tehama, CA",2014-01-02T20:00:00Z,2014-01-02,20.0,15.25,0.38,1.9,327.75,0.0,0.19,1
677.0,"Mariposa, CA",2014-05-26T15:33:00Z,2014-05-26,15.0,19.94,0.58,1.15,168.38,0.0,0.08,1
632.0,"Santa Barbara, CA",2014-05-13T14:00:00Z,2014-05-13,14.0,15.03,0.3,3.49,35.52,0.0,0.06,1
612.0,"Madera, CA",2014-08-18T13:50:00Z,2014-08-18,13.0,19.8,0.45,2.28,312.09,0.0,0.12,1
600.0,"San Diego, CA",2014-05-14T10:30:00Z,2014-05-14,10.0,18.93,0.36,2.77,69.93,0.0,0.03,1
580.0,"Trinity, CA",2014-08-24T16:36:00Z,2014-08-24,16.0,30.8,0.6,0.42,46.16,0.0,0.3,1
516.0,"Siskiyou, CA",2014-09-15T13:38:00Z,2014-09-15,13.0,11.39,0.56,1.38,122.2,0.0,0.15,1
487.0,"Tuolumne, CA",2014-06-04T11:45:00Z,2014-06-04,11.0,9.38,0.77,3.03,61.89,0.0,0.2,1
459.0,"Placer, CA",2014-10-08T13:33:00Z,2014-10-08,13.0,7.83,0.59,2.0,69.29,0.0,0.25,1
403.0,"Mendocino, CA",2014-09-13T15:48:00Z,2014-09-13,15.0,17.07,0.9,0.64,279.36,0.0,0.11,1
400.0,"Monterey, CA",2014-03-19T16:45:00Z,2014-03-19,16.0,12.68,0.66,0.62,12.34,0.0,0.07,1
389.0,"Butte, CA",2014-07-28T13:11:00Z,2014-07-28,13.0,18.87,0.37,1.65,51.41,0.0,0.16,1
